DiseaseName,DiseaseCode,Country,CountryCode,Registry,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.29,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,3.22,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,30.56,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,68.95,,1960
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,30.63,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,0-14,0.0,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,15-29,0.42,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,30-44,1.43,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,45-59,5.54,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,60-74,15.84,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,75-85+,25.23,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,0-14,0.0,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,15-29,0.0,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,30-44,3.32,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,45-59,26.6,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,60-74,82.38,,1960
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,75-85+,68.57,,1960
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.2,0.2,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.34,0.9,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,8.66,7.45,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,20.64,19.43,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,39.36,30.61,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.19,0.19,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,8.61,9.56,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,134.86,127.45,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,404.14,347.5,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,410.94,358.85,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.28,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,5.25,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,12.3,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,2.39,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.0,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,2.98,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,26.95,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,78.44,,1961
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,20.58,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,0-14,0.0,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,15-29,0.27,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,30-44,1.44,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,45-59,6.84,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,60-74,16.9,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,75-85+,24.58,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,0-14,0.0,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,15-29,0.13,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,30-44,2.71,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,45-59,31.77,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,60-74,103.29,,1961
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,75-85+,56.16,,1961
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.16,0.0,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.0,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.35,1.12,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,6.71,6.23,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,21.36,18.99,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,35.8,31.5,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.38,0.19,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,9.95,8.29,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,142.15,121.6,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,432.58,392.31,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,366.52,366.52,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.28,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,4.04,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,11.19,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,14.03,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.0,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,2.74,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,28.74,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,64.44,,1962
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,27.96,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,0-14,0.0,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,15-29,0.26,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,30-44,1.58,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,45-59,6.82,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,60-74,24.74,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Female,75-85+,39.52,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,0-14,0.0,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,15-29,0.38,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,30-44,3.39,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,45-59,35.41,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,60-74,110.19,,1962
Malignant neoplasm of lung,C0242379,Sweden,SE,Sweden,Male,75-85+,91.45,,1962
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.0,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.36,0.9,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,10.49,7.15,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,25.17,20.91,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,36.09,30.53,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.0,0.0,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,10.15,7.79,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,137.11,122.54,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,426.16,394.24,1963
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,378.63,370.28,1963
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1963
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1963
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.29,,1963
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,4.58,,1963
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,6.89,,1963
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,11.5,,1963
