DiseaseCui,DiseaseName,ChromosomalRearrengementName,ChromosomalRearrengementType
C0149782,Squamous cell carcinoma of lung,t(9;9)(p21;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;10)(q11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(13;13)(q31;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q42;q42),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;8)(q11;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;12)(q42;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(p21;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;17)(q25;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p15;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p21;p31),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;17)(q28;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q23;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;13)(q31;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q22;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q14;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;9)(p13;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;17)(p15;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q22;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;10)(q13;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;7)(q13;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q31;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;10)(p23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;6)(p22;p24),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;20)(p22;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(22;22)(q12;q12),Translocations
