Country,Incidence,Mortality,age,gender,disease_id,disease_name,year,country_id,age_code,ethnicity,people_id,vs_id
Luxembourg,37.3,31.3,45-59,Female,C0242379,Malignant neoplasm of lung,2022,LU,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_LU_45-59_female_undefined
Malta,25.5,20.7,45-59,Female,C0242379,Malignant neoplasm of lung,2022,MT,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_MT_45-59_female_undefined
Netherlands,55.8,36.5,45-59,Female,C0242379,Malignant neoplasm of lung,2022,NL,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_NL_45-59_female_undefined
Poland,49.7,36.6,45-59,Female,C0242379,Malignant neoplasm of lung,2022,PL,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_PL_45-59_female_undefined
Portugal,29.1,19.1,45-59,Female,C0242379,Malignant neoplasm of lung,2022,PT,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_PT_45-59_female_undefined
Romania,36.1,28.8,45-59,Female,C0242379,Malignant neoplasm of lung,2022,RO,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_RO_45-59_female_undefined
Slovakia,25.2,19.8,45-59,Female,C0242379,Malignant neoplasm of lung,2022,SK,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_SK_45-59_female_undefined
Slovenia,41.2,37.8,45-59,Female,C0242379,Malignant neoplasm of lung,2022,SI,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_SI_45-59_female_undefined
Spain,41.3,27.3,45-59,Female,C0242379,Malignant neoplasm of lung,2022,ES,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_ES_45-59_female_undefined
Sweden,24.5,12.6,45-59,Female,C0242379,Malignant neoplasm of lung,2022,SE,45-59 years,undefined,people_45-59_female_undefined,vstat_C0242379_SE_45-59_female_undefined
Austria,49.2,36.8,45-59,Male,C0242379,Malignant neoplasm of lung,2022,AT,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_AT_45-59_male_undefined
Belgium,56.2,38.4,45-59,Male,C0242379,Malignant neoplasm of lung,2022,BE,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_BE_45-59_male_undefined
Bulgaria,92.4,79.7,45-59,Male,C0242379,Malignant neoplasm of lung,2022,BG,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_BG_45-59_male_undefined
Croatia,81.7,85.7,45-59,Male,C0242379,Malignant neoplasm of lung,2022,HR,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_HR_45-59_male_undefined
Cyprus,52.8,38.8,45-59,Male,C0242379,Malignant neoplasm of lung,2022,CY,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_CY_45-59_male_undefined
Czechia,36.7,43.5,45-59,Male,C0242379,Malignant neoplasm of lung,2022,CZ,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_CZ_45-59_male_undefined
