REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
DE6,Hamburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.669853,Annual
DE7,Hesse,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.011116,Annual
DE8,Mecklenburg-Vorpommern,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.182178,Annual
DE9,Lower Saxony,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.975353,Annual
DEA,North Rhine-Westphalia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.608099,Annual
DEB,Rhineland-Palatinate,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.398838,Annual
DEC,Saarland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.483246,Annual
DED,Saxony,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.156181,Annual
DEE,Saxony-Anhalt,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.979162,Annual
DEF,Schleswig-Holstein,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.586571,Annual
DEG,Thuringia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.391819,Annual
DK01,Capital region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.517117,Annual
DK02,Zealand,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.382452,Annual
DK03,Southern Denmark,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.586611,Annual
DK04,Central Denmark,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.99457,Annual
DK05,Northern Denmark,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.952873,Annual
EE00,Estonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,12.993395,Annual
EL30,Attica,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.390463,Annual
EL41,North Aegean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,11.123495,Annual
EL42,South Aegean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.466344,Annual
EL43,Crete,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.015169,Annual
EL51,"Eastern Macedonia, Thrace",Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.447523,Annual
EL52,Central Macedonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,24.316072,Annual
EL53,Western Macedonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,29.609367,Annual
EL54,Epirus,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.142042,Annual
EL61,Thessaly,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.300343,Annual
EL62,Ionian Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.34202,Annual
EL63,Western Greece,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.227976,Annual
EL64,Central Greece,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.946045,Annual
EL65,Peloponnese,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.729277,Annual
ES11,Galicia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,13.544073,Annual
ES12,Asturias,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.784481,Annual
ES13,Cantabria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.148041,Annual
ES21,Basque Country,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.329226,Annual
ES22,Navarra,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,13.49896,Annual
ES23,La Rioja,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.447484,Annual
ES24,Aragon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.335877,Annual
ES30,Madrid,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.0518,Annual
ES41,Castile and León,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,13.908603,Annual
ES42,Castile-La Mancha,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.380077,Annual
ES43,Extremadura,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,10.232443,Annual
ES51,Catalonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.070103,Annual
ES52,Valencian Community,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.983844,Annual
ES53,Balearic Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,10.165502,Annual
ES61,Andalusia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.527406,Annual
ES62,Murcia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.225857,Annual
ES63,Ceuta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.210627,Annual
ES64,Melilla,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.752548,Annual
ES70,Canary Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,8.8540945,Annual
FI19,Western Finland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,8.4461355,Annual
FI1B,Helsinki-Uusimaa,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,10.400368,Annual
FI1C,Southern Finland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,9.0927973,Annual
FI1D,Northern and Eastern Finland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.3866076,Annual
FI20,Åland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,6.8987966,Annual
FR1,Île-de-France,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.058996,Annual
