ChemicalId,ChemicalName,CityId,CountryName,CityName,Value,Units,Population
C5890534,Particulate matter (PM2.5),IT_saler_ec55,Italy,Salerno,11,Microgramos por metro cúbico (µg/m³),131556
C5890534,Particulate matter (PM2.5),PL_warsz_3fc5,Poland,Warszawa,15,Microgramos por metro cúbico (µg/m³),1777972
C5890534,Particulate matter (PM2.5),IT_udine_329c,Italy,Udine,13.6,Microgramos por metro cúbico (µg/m³),100170
C5890534,Particulate matter (PM2.5),DE_potsd_e27a,Germany,Potsdam,8.7,Microgramos por metro cúbico (µg/m³),180334
C5890534,Particulate matter (PM2.5),ES_caste_42e2,Spain,Castellón de la Plana/Castelló de la Plana,15.8,Microgramos por metro cúbico (µg/m³),174264
C5890534,Particulate matter (PM2.5),SE_norrk_73bc,Sweden,Norrköping,4.1,Microgramos por metro cúbico (µg/m³),140927
C5890534,Particulate matter (PM2.5),FR_metz_dd0c,France,Metz,9.4,Microgramos por metro cúbico (µg/m³),166252
C5890534,Particulate matter (PM2.5),HR_rijek_a7b0,Croatia,Rijeka,7.3,Microgramos por metro cúbico (µg/m³),115219
C5890534,Particulate matter (PM2.5),DE_gelse_2b2e,Germany,Gelsenkirchen,11.5,Microgramos por metro cúbico (µg/m³),259645
C5890534,Particulate matter (PM2.5),DE_heide_ec6f,Germany,Heidelberg,7.1,Microgramos por metro cúbico (µg/m³),161485
C5890534,Particulate matter (PM2.5),IT_savon_674f,Italy,Savona,9.2,Microgramos por metro cúbico (µg/m³),59439
C5890534,Particulate matter (PM2.5),DE_passa_f994,Germany,Passau,10.9,Microgramos por metro cúbico (µg/m³),52803
C5890534,Particulate matter (PM2.5),FR_nante_3d8b,France,Nantes,9.3,Microgramos por metro cúbico (µg/m³),450218
C5890534,Particulate matter (PM2.5),RO_arad_ed0b,Romania,Arad,12.7,Microgramos por metro cúbico (µg/m³),176846
C5890534,Particulate matter (PM2.5),FR_cherb_aa8c,France,Cherbourg,9,Microgramos por metro cúbico (µg/m³),79200
C5890534,Particulate matter (PM2.5),FR_troye_c750,France,Troyes,7.8,Microgramos por metro cúbico (µg/m³),106948
C5890534,Particulate matter (PM2.5),PL_lomza_0829,Poland,Lomza,20,Microgramos por metro cúbico (µg/m³),63000
C5890534,Particulate matter (PM2.5),IT_vicen_b46a,Italy,Vicenza,23,Microgramos por metro cúbico (µg/m³),109855
C5890534,Particulate matter (PM2.5),CZ_hrade_6a85,Czechia,Hradec Králové,14.2,Microgramos por metro cúbico (µg/m³),92939
C5890534,Particulate matter (PM2.5),IT_ancon_ce5e,Italy,Ancona,15.3,Microgramos por metro cúbico (µg/m³),99077
C5890534,Particulate matter (PM2.5),FR_stras_bb29,France,Strasbourg,10.1,Microgramos por metro cúbico (µg/m³),405733
C5890534,Particulate matter (PM2.5),FR_bayon_2562,France,Bayonne,6.1,Microgramos por metro cúbico (µg/m³),115561
C5890534,Particulate matter (PM2.5),PL_tarnw_0a07,Poland,Tarnów,17.4,Microgramos por metro cúbico (µg/m³),109062
C5890534,Particulate matter (PM2.5),PL_wlocl_a1b9,Poland,Wloclawek,16.2,Microgramos por metro cúbico (µg/m³),110802
C5890534,Particulate matter (PM2.5),PL_kalis_f9b2,Poland,Kalisz,18.9,Microgramos por metro cúbico (µg/m³),100975
C5890534,Particulate matter (PM2.5),PL_siedl_9625,Poland,Siedlce,16.3,Microgramos por metro cúbico (µg/m³),77872
C5890534,Particulate matter (PM2.5),DE_darms_b302,Germany,Darmstadt,8,Microgramos por metro cúbico (µg/m³),159878
C5890534,Particulate matter (PM2.5),PL_kosza_4d62,Poland,Koszalin,10.5,Microgramos por metro cúbico (µg/m³),107321
C5890534,Particulate matter (PM2.5),PL_lubli_9be7,Poland,Lublin,17.7,Microgramos por metro cúbico (µg/m³),339682
C5890534,Particulate matter (PM2.5),ES_lnead_c2b9,Spain,"Línea de la Concepción, La",8.8,Microgramos por metro cúbico (µg/m³),63630
C5890534,Particulate matter (PM2.5),NL_great_47aa,Netherlands,Greater Amsterdam,8.4,Microgramos por metro cúbico (µg/m³),996915
