DiseaseName,DiseaseCode,Country,CountryCode,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Slovenia,SI,Female,15-29,2.0,0.0,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Female,30-44,0.9,1.1,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Female,45-59,55.0,26.7,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Female,60-74,170.7,113.4,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Female,75-85+,142.3,148.7,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Male,30-44,0.0,0.8,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Male,45-59,75.2,55.7,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Male,60-74,288.1,196.6,2024
Malignant neoplasm of lung,C0242379,Slovenia,SI,Male,75-85+,361.3,328.4,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Female,15-29,1.1,0.1,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Female,30-44,1.1,1.0,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Female,45-59,33.2,20.3,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Female,60-74,95.1,64.4,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Female,75-85+,86.4,70.8,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Male,0-14,1.7,0.0,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Male,15-29,0.1,0.1,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Male,30-44,0.0,2.2,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Male,45-59,55.5,28.3,2024
Malignant neoplasm of lung,C0242379,Spain,ES,Male,60-74,251.7,205.5,2024
