pollutant,country,sampling_point,station_name,municipality,latitude,longitude,station_area,annual_mean,n_observations,unit,agg_type,year
PM2.5,AT,SPO.09.GAUD.67352.6001.1,Gaudenzdorf,1120 Wien,48.18715,16.33933,urban,11.1149,8741,ug.m-3,hour,2021
PM2.5,AT,SPO.09.GAUD.67352.6001.1,Gaudenzdorf,1120 Wien,48.18715,16.33933,urban,10.9593,8536,ug.m-3,hour,2022
PM2.5,AT,SPO.09.GAUD.67352.6001.1,Gaudenzdorf,1120 Wien,48.18715,16.33933,urban,9.3964,8742,ug.m-3,hour,2023
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,9.7217,362,ug.m-3,day,2014
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,11.4384,365,ug.m-3,day,2015
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,10.7123,365,ug.m-3,day,2016
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,9.6638,365,ug.m-3,day,2017
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,10.5102,361,ug.m-3,day,2018
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,9.2829,364,ug.m-3,day,2019
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,9.5153,364,ug.m-3,day,2020
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,8.7769,365,ug.m-3,day,2021
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,8.8422,365,ug.m-3,day,2022
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,8.3716,363,ug.m-3,day,2023
PM2.5,AT,SPO.08.0807.65162.6001.1,Dornbirn Stadtstraße,6850 Dornbirn,47.40945,9.7432,suburban,7.4331,365,ug.m-3,day,2024
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,14.2607,364,ug.m-3,day,2014
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,13.5536,364,ug.m-3,day,2016
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,15.9788,363,ug.m-3,day,2017
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,15.9261,364,ug.m-3,day,2018
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,12.3756,361,ug.m-3,day,2019
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,12.3635,356,ug.m-3,day,2020
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,12.5333,362,ug.m-3,day,2021
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,11.9849,361,ug.m-3,day,2022
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,10.3992,365,ug.m-3,day,2023
PM2.5,AT,SPO.06.138.63507.6001.1,Graz Nord Gösting,8051 Graz Gösting,47.09436,15.41511,suburban,11.9021,365,ug.m-3,day,2024
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,16.2025,365,ug.m-3,day,2014
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,15.1707,363,ug.m-3,day,2015
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,13.5840,362,ug.m-3,day,2016
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,13.9543,365,ug.m-3,day,2017
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,15.3494,365,ug.m-3,day,2018
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,12.5068,365,ug.m-3,day,2019
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,10.3254,364,ug.m-3,day,2020
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,10.4311,362,ug.m-3,day,2021
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,10.5546,364,ug.m-3,day,2022
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,10.0279,363,ug.m-3,day,2023
PM2.5,AT,SPO.09.AKC.55371.6001.1,AKH,1090 Wien,48.21911,16.34982,urban,9.9721,366,ug.m-3,day,2024
PM2.5,AT,SPO.03.2401.67893.6001.1,Wiener Neustadt,2700 Wiener Neustadt,47.81417,16.255,suburban,24.5000,1,ug.m-3,hour,2020
PM2.5,AT,SPO.03.2401.67893.6001.1,Wiener Neustadt,2700 Wiener Neustadt,47.81417,16.255,suburban,9.6243,8758,ug.m-3,hour,2021
PM2.5,AT,SPO.03.2401.67893.6001.1,Wiener Neustadt,2700 Wiener Neustadt,47.81417,16.255,suburban,10.0031,8759,ug.m-3,hour,2022
PM2.5,AT,SPO.03.0201.67768.6001.1,Bad Vöslau; Gainfarn,2540 Bad Vöslau,47.9592,16.20573,suburban,7.5127,8764,ug.m-3,hour,2020
PM2.5,AT,SPO.03.0201.67768.6001.1,Bad Vöslau; Gainfarn,2540 Bad Vöslau,47.9592,16.20573,suburban,8.9915,8759,ug.m-3,hour,2021
PM2.5,AT,SPO.03.0201.67768.6001.1,Bad Vöslau; Gainfarn,2540 Bad Vöslau,47.9592,16.20573,suburban,9.3773,8755,ug.m-3,hour,2022
PM2.5,AT,SPO.03.0201.67768.6001.1,Bad Vöslau; Gainfarn,2540 Bad Vöslau,47.9592,16.20573,suburban,7.9633,8670,ug.m-3,hour,2023
